source,target,context,tags,eng_start,eng_end,jpn_start,jpn_end
You guys are amazing.,みんなすごいね！,Time: 0:06:29.718000,,0:06:29.718000,0:06:31.100000,0:06:29.718000,0:06:31.100000
Squatting down when we go low.,低いところはひざを曲げて！,Time: 0:06:31.535000,,0:06:31.535000,0:06:33.535000,0:06:31.535000,0:06:33.535000
That's it. Opposite sides.,いい調子！反対側も！,Time: 0:06:34.462000,,0:06:34.462000,0:06:36.493000,0:06:34.462000,0:06:36.493000
Whoops. We missed that one.,わ、一つ外しちゃった。,Time: 0:06:37.431000,,0:06:37.431000,0:06:39.155000,0:06:37.431000,0:06:39.155000
"Good job, team. We're doing such a great job.",みんな、その調子！,Time: 0:06:39.684000,,0:06:39.684000,0:06:42.209000,0:06:39.684000,0:06:42.209000
Keep it up.,頑張ってね！,Time: 0:06:42.755000,,0:06:42.755000,0:06:43.660000,0:06:42.755000,0:06:43.660000
"Remember,",みんな、,Time: 0:06:44.513000,,0:06:44.513000,0:06:45.025000,0:06:44.513000,0:06:45.025000
focusing here.,しゅうちゅう！,Time: 0:06:45.452000,,0:06:45.452000,0:06:46.255000,0:06:45.452000,0:06:46.255000
So we're going in all sorts of directions.,いい運動だね！,Time: 0:06:47.040000,,0:06:47.040000,0:06:48.825000,0:06:47.040000,0:06:48.825000
"Also, hold on to that bat. We don't want it to fly away.",みんな、バットを落とさないように、しっかり持ってね！,Time: 0:06:49.820000,,0:06:49.820000,0:06:53.460000,0:06:49.820000,0:06:53.460000
"That's it, guys. We're almost there.",いい調子だよ！あと少し！,Time: 0:06:54.210000,,0:06:54.210000,0:06:56.340000,0:06:54.210000,0:06:56.340000
"Beach bada bada, beach bada bada... Almost the end!",ビーチ バダ バダビーチ バダ バダ頑張って！,Time: 0:06:57.235000,,0:06:57.235000,0:07:00.325000,0:06:57.235000,0:07:00.325000
And yes.,やった！,Time: 0:07:00.912000,,0:07:00.912000,0:07:02.295000,0:07:00.912000,0:07:02.295000
"Well done, guys.",頑張ったね！,Time: 0:07:02.687000,,0:07:02.687000,0:07:03.745000,0:07:02.687000,0:07:03.745000
Break it kids!,Break it Kids!,Time: 0:07:04.598000,,0:07:04.598000,0:07:05.716000,0:07:04.598000,0:07:05.716000
"Incredible job, team. Now it's time to cool.",良くやった！今はクールダウンの時間だよ,Time: 0:07:06.210000,,0:07:06.210000,0:07:09.465000,0:07:06.210000,0:07:09.465000
We're gonna take some deep breaths.,深呼吸して、,Time: 0:07:09.610000,,0:07:09.610000,0:07:11.400000,0:07:09.610000,0:07:11.400000
calm our heart and get ready for what's next.,心をおちつかせよう！,Time: 0:07:13.050000,,0:07:13.050000,0:07:15.315000,0:07:13.050000,0:07:15.315000
"Next up, we're going to sit crisscross like",次は、あぐらをかいて、,Time: 0:07:15.742000,,0:07:15.742000,0:07:18.029000,0:07:15.742000,0:07:18.029000
put our hands together and squeeze them as hard as you can.,手をギュッと合わせて、強く握ってみよう！,Time: 0:07:18.540000,,0:07:18.540000,0:07:21.868000,0:07:18.540000,0:07:21.868000
Relax,ゆるめて、,Time: 0:07:22.192000,,0:07:22.192000,0:07:22.875000,0:07:22.192000,0:07:22.875000
and go again.,もう一回！,Time: 0:07:23.745000,,0:07:23.745000,0:07:24.445000,0:07:23.745000,0:07:24.445000
Ready?,よし！,Time: 0:07:25.964000,,0:07:25.964000,0:07:26.271000,0:07:25.964000,0:07:26.271000
Let's go.,Lets go,Time: 0:07:26.476000,,0:07:26.476000,0:07:26.988000,0:07:26.476000,0:07:26.988000
Nice big squeeze.,大きくギュッと握って,Time: 0:07:28.506000,,0:07:28.506000,0:07:30.110000,0:07:28.506000,0:07:30.110000
It feels so good to cool down.,クールダウンの時間はいいね！,Time: 0:07:30.435000,,0:07:30.435000,0:07:32.346000,0:07:30.435000,0:07:32.346000
Remember to sit as straight as you can,ねこぜにならないように,Time: 0:07:33.131000,,0:07:33.131000,0:07:34.496000,0:07:33.131000,0:07:34.496000
We don't want any floppy noodles.,まっすぐすわろう！,Time: 0:07:35.588000,,0:07:35.588000,0:07:37.039000,0:07:35.588000,0:07:37.039000
Nice big squeeze...,大きくギュッとね！,Time: 0:07:38.199000,,0:07:38.199000,0:07:39.242000,0:07:38.199000,0:07:39.242000
and relax,ゆるめて,Time: 0:07:39.745000,,0:07:39.745000,0:07:41,0:07:39.745000,0:07:41
"Well done, kids.",いい調子,Time: 0:07:41.493000,,0:07:41.493000,0:07:42.329000,0:07:41.493000,0:07:42.329000
Squeeze,握って。,Time: 0:07:43.762000,,0:07:43.762000,0:07:44.974000,0:07:43.762000,0:07:44.974000
"and relax. Remember, you could use this any time",ゆるめて。ストレスを感じたときや、,Time: 0:07:46.493000,,0:07:46.493000,0:07:49.547000,0:07:46.493000,0:07:49.547000
"when you're feeling stressed or a bit overwhelmed,",胸がいっぱいになったときにしてみてね。,Time: 0:07:52.687000,,0:07:52.687000,0:07:54.786000,0:07:52.687000,0:07:54.786000
as we all do sometimes.,そんな時もあるよね。,Time: 0:07:55.435000,,0:07:55.435000,0:07:56.663000,0:07:55.435000,0:07:56.663000
Big squeeze.,握って。,Time: 0:07:57.653000,,0:07:57.653000,0:07:58.540000,0:07:57.653000,0:07:58.540000
And the best part,緩めて。,Time: 0:08:00.315000,,0:08:00.315000,0:08:01.288000,0:08:00.315000,0:08:01.288000
